Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
12/01 20:00:00,38.06768722,3.586220833,0,0,9.179850659,19.4245,160.1807486,105.1710085,33.3988,21.61094017
12/01 21:00:00,38.05835755,3.586220833,0,0,9.179850659,19.4245,158.1460105,106.6968138,33.3988,18.05039665
12/01 22:00:00,38.01900447,3.586220833,0,0,9.179850659,19.4245,157.3151565,112.4370938,25.0491,19.82896271
12/01 23:00:00,38.0130691,3.586220833,0,0,9.179850659,19.4245,149.5301693,116.5550853,16.6994,16.27568405
12/02 1095072:00:00,38.82270477,3.586220833,0,0,9.179850659,19.4245,136.9577923,119.3631018,8.3497,9.244990472
12/02 1:00:00,22.06306378,3.586220833,0,0,4.58992533,8.1892,138.3732754,128.1053123,3.33988,6.928083054
12/02 2:00:00,14.62851956,0,0,0,1.52997511,7.4902,3.931975947,0,3.33988,0.592095947
12/02 3:00:00,14.64903608,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
12/02 4:00:00,14.66219042,0,0,0,1.52997511,7.4902,3.931964643,0,3.33988,0.5920846433
12/02 5:00:00,14.81305558,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
12/02 6:00:00,22.17737084,3.586220833,0.0113351391,0,4.58992533,8.1892,139.8355673,130.8937767,8.3497,0.5920905251
12/02 7:00:00,38.13351049,3.586220833,0.009010157199,0,9.179850659,19.4245,147.059639,125.1665898,16.6994,5.193649205
12/02 8:00:00,45.59597287,3.586220833,0.007549800763,0,9.179850659,26.9147,142.3401314,111.523875,25.0491,5.76715639
12/02 9:00:00,45.60174189,3.586220833,0,0,9.179850659,26.9147,150.5491022,111.3818859,33.3988,5.768416287
12/02 10:00:00,37.06331003,3.586220833,0.003719249591,0,9.179850659,19.4245,158.6449485,115.5447678,25.0491,18.05108065
12/02 11:00:00,41.37760204,3.586220833,0.004265053299,0,9.179850659,26.9147,176.1413888,118.1196977,41.7485,16.27319112
12/02 12:00:00,42.14676856,3.586220833,0,0,9.179850659,26.9147,170.3669594,111.150948,41.7485,17.46751141
12/02 13:00:00,41.42565784,3.586220833,0,0,9.179850659,26.9147,168.610097,108.8100241,41.7485,18.05157292
12/02 14:00:00,33.9012189,3.586220833,0,0,9.179850659,19.4245,159.7664831,110.0857924,33.3988,16.28189069
12/02 15:00:00,33.90176699,3.586220833,0,0,9.179850659,19.4245,152.6995378,113.1403546,25.0491,14.51008323
12/02 16:00:00,36.00693697,3.586220833,0,0,9.179850659,19.4245,162.2375264,114.3267263,33.3988,14.51200006
12/02 17:00:00,45.55450002,3.586220833,0.006967785371,0,9.179850659,26.9147,174.373345,111.5264962,50.0982,12.74864881
12/02 18:00:00,45.55783547,3.586220833,0,0,9.179850659,26.9147,175.1635125,110.5527079,50.0982,14.51260455
12/02 19:00:00,45.56731266,3.586220833,0.002703737752,0,9.179850659,26.9147,171.8927242,101.962905,50.0982,19.83161923
12/02 20:00:00,38.21199258,3.586220833,0,0,9.179850659,19.4245,153.4492386,100.2199257,33.3988,19.83051296
12/02 21:00:00,38.19279664,3.586220833,0,0,9.179850659,19.4245,155.1232943,103.6727487,33.3988,18.05174556
12/02 22:00:00,38.12268622,3.586220833,0,0,9.179850659,19.4245,150.1967639,105.3204747,25.0491,19.82718916
12/02 23:00:00,38.01335793,3.586220833,0,0,9.179850659,19.4245,140.5689433,109.9391095,16.6994,13.9304338
12/03 1095096:00:00,38.8228921,3.586220833,0,0,9.179850659,19.4245,133.0127776,113.6665309,8.3497,10.99654674
12/03 1:00:00,22.06425966,3.586220833,0,0,4.58992533,8.1892,136.492994,123.9042687,3.33988,9.248845235
12/03 2:00:00,14.63128035,0,0,0,1.52997511,7.4902,3.931973267,0,3.33988,0.5920932667
12/03 3:00:00,14.65123097,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
12/03 4:00:00,14.66503476,0,0,0,1.52997511,7.4902,3.931927413,0,3.33988,0.5920474134
12/03 5:00:00,14.81718325,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
12/03 6:00:00,22.18030531,3.586220833,0.01144545742,0,4.58992533,8.1892,128.4143492,120.0446492,8.3497,0.02
12/03 7:00:00,38.13657884,3.586220833,0.009453274303,0,9.179850659,19.4245,134.5424716,112.0752494,16.6994,5.767822247
12/03 8:00:00,45.60228893,3.586220833,0.007688975242,0,9.179850659,26.9147,130.0392361,99.22204455,25.0491,5.768091568
