Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 11/02  17:00:00,70.2034021152,4.74634452124,0.0721521763092,5.13241797284,17.6635504202,40.6971502883,42.5994376122,36.8097969024,0.0,5.78964070982
 11/02  18:00:00,81.0591723214,4.7301993357,0.130573449168,3.78821223609,27.5259009287,37.3340067412,59.1108374733,41.6588907815,0.0,17.4519466918
 11/02  19:00:00,82.2523952311,4.73114559447,0.333700176002,2.45258404743,33.8341110165,33.3544677425,54.1736774303,42.5815358593,0.0,11.592141571
 11/02  20:00:00,90.1951572737,4.80536544316,1.02498992385,1.47567897561,36.5179666069,38.8247702939,54.895021074,43.3030016971,0.0,11.5920193768
 11/02  21:00:00,84.9509243153,4.85887893506,1.40968323423,1.30751007518,32.965339924,36.8579353714,66.7847505787,43.4881827654,0.0,23.2965678133
 11/02  22:00:00,60.916217078,4.71587293555,0.270798566541,2.10242308306,25.6355707503,20.6438685092,56.5185876322,44.9099633806,0.0,11.6086242516
 11/02  23:00:00,44.2999259154,4.75158488746,0.0470423167393,5.22791243644,15.0252895274,11.7056064465,53.0968610537,47.3153383713,0.0,5.78152268232
 11/02  24:00:00,41.0702010744,4.78708843493,0.0379052166357,6.99775381199,11.6412384099,10.0650221343,56.0393755643,50.2659335257,0.0,5.77344203855
 11/03  01:00:00,40.6855109396,4.80977400818,0.0306797322391,8.15848381593,10.0992000411,10.047477231,58.3323446592,52.567092385,0.0,5.76525227411
 11/03  02:00:00,39.4954770103,4.82323561615,0.024200519044,8.82102454095,8.25718729233,10.0299323277,58.6114205061,52.8463319383,0.0,5.76508856773
 11/03  03:00:00,40.3155870479,4.84066825305,0.0184154905364,9.6294868293,8.25718729233,10.0299323277,60.2466928743,54.4814557217,0.0,5.76523715256
 11/03  04:00:00,43.2998010662,4.86817333251,0.0124692092227,10.9853494616,8.25718729233,11.6354268332,64.6000174221,58.8267792355,0.0,5.77323818655
 11/03  05:00:00,51.6076756736,4.88324852797,0.0100585078605,11.7003352342,12.1011305571,15.3678112995,72.9239638493,61.3483018682,0.0,11.5756619812
 11/03  06:00:00,77.508720863,4.80295515155,0.0374505583935,8.12507070644,19.7275818095,37.2640762949,80.8251297056,63.3473231157,0.0,17.4778065899
 11/03  07:00:00,93.5769060988,4.77737810873,0.299351608808,5.35206897634,24.3117294858,51.2795993405,84.0317184862,60.6003445916,0.0,23.4313738946
 11/03  08:00:00,86.748296435,4.84058085009,0.0802130584315,9.95540661858,23.6694662846,40.6342015617,87.6349140152,52.0440197018,0.0,35.5908943134
 11/03  09:00:00,81.4411003473,4.88060393137,1.43101499454,12.0332664755,23.6694662846,35.6302164847,107.687286404,54.2361294528,18.025,35.4261569511
 11/03  10:00:00,61.8124377312,4.9156741961,1.67377010015,13.4918412982,18.7433767983,22.9618409725,98.7721614318,51.3016796803,18.025,29.4454817515
 11/03  11:00:00,61.5785612775,4.91358335133,1.80758920454,13.1288338717,18.7433767983,22.9618409725,94.9028185853,47.5204157656,18.025,29.3574028197
 11/03  12:00:00,61.1198464677,4.9093403691,1.73572185703,12.7027828702,18.5889407304,23.1597249699,84.260590506,42.7490554037,18.025,23.4865351024
 11/03  13:00:00,61.2191828557,4.90759369069,1.79134968777,12.5017327757,18.7433767983,23.2517909448,88.0836505661,40.7029636013,18.025,29.3556869647
 11/03  14:00:00,61.2369701704,4.9082579664,1.81095098707,12.4992581721,18.7433767983,23.2517909448,82.0264963548,40.5178158247,18.025,23.4836805301
 11/03  15:00:00,60.7452801406,4.90448583741,1.82926493151,12.2829739669,18.7433767983,22.9618409725,89.0455289108,41.667024775,18.025,29.3535041359
 11/03  16:00:00,63.6404068152,4.88670957925,1.02054745287,11.5532577608,18.7433767983,27.431320555,64.6949810207,40.8966651771,18.025,5.77331584358
 11/03  17:00:00,73.7481793856,4.82089722532,0.0668960473474,8.60789264273,17.6635504202,40.6971502883,52.5446926878,40.9851862796,0.0,11.5595064082
 11/03  18:00:00,83.8989071418,4.77900795261,0.0501735702382,6.6595316649,27.5259009287,37.3340067412,56.7601695912,45.1183545156,0.0,11.6418150756
 11/03  19:00:00,84.7634972302,4.75436744724,0.11082788478,5.16333201211,33.8341110165,33.3544677425,63.5853896479,46.209183714,0.0,17.3762059338
 11/03  20:00:00,90.8525514223,4.7390315364,0.364247550279,2.86014647935,36.5179666069,38.8247702939,59.3701055883,47.7807977146,0.0,11.5893078737
 11/03  21:00:00,84.9272145946,4.75758400604,0.591163589888,2.20360691553,32.965339924,36.8579353714,65.7385067271,48.2596749439,0.0,17.4788317832
 11/03  22:00:00,63.5256464559,4.74656818355,0.0956792291386,4.85627195796,25.6355707503,20.6438685092,61.2335070702,49.6244081532,0.0,11.609098917
 11/03  23:00:00,47.2278076409,4.80954754482,0.0380452524368,8.1068243812,15.0252895274,11.7056064465,60.1188498603,51.8790312789,0.0,8.23981858142
 11/03  24:00:00,43.388010157,4.83439404341,0.0296668067431,9.27649315621,11.6412384099,10.0650221343,61.7207938095,52.6494171683,0.0,9.07137664115
 11/04  01:00:00,44.8932945083,4.8407808924,0.0258359881789,9.58062252074,12.8411359301,10.0650221343,52.9450343874,52.9250343874,0.0,0.02
 11/04  02:00:00,40.9041724115,4.85458958169,0.0189204377618,10.203645041,8.25718729233,10.0299323277,58.3417543398,52.5767210145,0.0,5.76503332529
 11/04  03:00:00,41.3896552879,4.86509559817,0.0142305096453,10.6833112759,8.25718729233,10.0299323277,59.0664672275,53.3012780437,0.0,5.76518918374
 11/04  04:00:00,43.4101055274,4.87825886787,0.0100335479391,11.0880021551,8.25718729233,11.6354268332,59.9264573266,54.1535700411,0.0,5.77288728557
 11/04  05:00:00,47.9952356514,4.88719105559,0.00618624601664,11.509559803,8.71707943955,15.3327214929,61.2104025924,54.1762293148,0.0,7.03417327764
