Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/31  11:00:00,59.9155034105,4.40244694023,16.4881792904,0.0,9.17985065927,26.9147,52.1638504572,0.0,41.7485,10.4153504572
 05/31  12:00:00,61.5441857217,4.40244694023,18.7462718432,0.0,9.17985065927,26.9147,50.9988743156,0.0,41.7485,9.25037431563
 05/31  13:00:00,52.2349406722,4.40244694023,17.0004959324,0.0,9.17985065927,19.4245,41.4848928856,0.0,33.3988,8.08609288564
 05/31  14:00:00,51.9793006063,4.40244694023,16.7272670442,0.0,9.17985065927,19.4245,32.4525805408,0.0,25.0491,7.4034805408
 05/31  15:00:00,52.4424115947,4.40244694023,17.1824074223,0.0,9.17985065927,19.4245,40.4253810777,0.0,33.3988,7.02658107768
 05/31  16:00:00,62.3032245719,4.40244694023,19.5612910384,0.0,9.17985065927,26.9147,57.0245994158,0.0,50.0982,6.92639941583
 05/31  17:00:00,64.3758596445,4.40244694023,21.6940089151,0.0,9.17985065927,26.9147,59.3483778333,0.0,50.0982,9.25017783326
 05/31  18:00:00,64.2761507674,4.40244694023,21.6142838108,0.0,9.17985065927,26.9147,62.8503966237,0.0,50.0982,12.7521966237
 05/31  19:00:00,53.0910866592,4.40244694023,17.7400591951,0.0,9.17985065927,19.4245,47.3229814296,0.0,33.3988,13.9241814296
 05/31  20:00:00,49.7672703812,4.40244694023,13.4282422192,0.0,9.17985065927,19.4245,44.9803017464,0.0,33.3988,11.5815017464
 05/31  21:00:00,45.1489502445,4.40244694023,5.81396945333,0.0,9.17985065927,19.4245,37.8005570293,0.0,25.0491,12.7514570293
 05/31  22:00:00,41.1489752386,4.40244694023,1.97248703468,0.0,9.17985065927,19.4245,27.1119091869,0.0,16.6994,10.4125091869
 05/31  23:00:00,40.5442796037,4.40244694023,0.600916090448,0.0,9.17985065927,19.4245,14.1194063824,0.0,8.3497,5.76970638238
 05/31  24:00:00,23.2350363449,4.40244694023,0.0,0.0,4.58992532963,8.1892,8.75764565253,0.228652617136,3.33988,5.18911303539
 06/01  01:00:00,14.9940590592,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 06/01  02:00:00,15.0176911964,0.0,0.0,0.0,1.52997510988,7.4902,3.93193486194,0.0,3.33988,0.592054861943
 06/01  03:00:00,15.0317670529,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 06/01  04:00:00,15.2153031328,0.0,0.0,0.0,1.52997510988,7.4902,3.93194079271,0.0,3.33988,0.592060792711
 06/01  05:00:00,23.3540753011,4.40244694023,0.00338955687661,0.0,4.58992532963,8.1892,8.66902457639,0.299324576393,8.3497,0.02
 06/01  06:00:00,37.1532956228,4.40244694023,0.0232160308545,0.0,9.17985065927,19.4245,20.1617453557,0.0,16.6994,3.46234535574
 06/01  07:00:00,42.5066084264,4.40244694023,0.0505774884719,0.0,9.17985065927,26.9147,38.9911447248,0.0158011314231,25.0491,13.9262435933
 06/01  08:00:00,42.5182706909,4.40244694023,0.0518660655224,0.0,9.17985065927,26.9147,46.1505053782,0.0,33.3988,12.7517053782
